iter	MultiClass
0	1.068140202
1	1.039315063
2	1.01217018
3	0.9876584872
4	0.9642012915
5	0.9424723414
6	0.922174895
7	0.9028036779
8	0.8846199645
9	0.8671517114
10	0.8503523119
11	0.8346364557
12	0.819710583
13	0.8056141586
14	0.7921323929
15	0.7795171833
16	0.7676097686
17	0.7560633935
18	0.7451155549
19	0.7347851216
20	0.724708205
21	0.715589858
22	0.7059211801
23	0.6971565547
24	0.6885273549
25	0.6807276282
26	0.6729469823
27	0.6655481398
28	0.6577568156
29	0.6507219352
30	0.6438348771
31	0.6372863881
32	0.6311219199
33	0.6254237818
34	0.6194628628
35	0.6141943446
36	0.6089282165
37	0.6037926578
38	0.5993514533
39	0.5949588256
40	0.590641346
41	0.5864610972
42	0.582107748
43	0.5779661541
44	0.5740459346
45	0.5702404056
46	0.5666805258
47	0.5632168984
48	0.5598492626
49	0.5564549851
50	0.5533070441
51	0.5501297464
52	0.5471899384
53	0.5444487093
54	0.5416070084
55	0.5390688724
56	0.5365297738
57	0.5338187401
58	0.5311861814
59	0.5288556497
60	0.5263682856
61	0.5240104602
62	0.5219057363
63	0.5198479164
64	0.5178967722
65	0.5159699117
66	0.5140944665
67	0.5120662095
68	0.5102889026
69	0.5085024464
70	0.5069362078
71	0.5050294097
72	0.5033209461
73	0.5017007774
74	0.5002064586
75	0.4987194165
76	0.4973071121
77	0.4956276082
78	0.494251533
79	0.4928216802
80	0.4915695427
81	0.4903273741
82	0.4890866491
83	0.48784013
84	0.4867059738
85	0.4856317531
86	0.484490901
87	0.4831869602
88	0.482149921
89	0.4811720311
90	0.4803507068
91	0.4793434543
92	0.4782608949
93	0.4773358061
94	0.4762844244
95	0.4753780051
96	0.4740960063
97	0.473127129
98	0.4723742497
99	0.4714250059
100	0.4703886761
101	0.4695136953
102	0.4687487789
103	0.4680615362
104	0.4671789289
105	0.4664465807
106	0.4655527826
107	0.4649900782
108	0.4641112034
109	0.4633280846
110	0.4624427239
111	0.4616367749
112	0.4607849304
113	0.4600355858
114	0.459310242
115	0.4585838078
116	0.4579163471
117	0.4571398891
118	0.4564837928
119	0.455919583
120	0.4552286739
121	0.4546921327
122	0.4540530058
123	0.4532248817
124	0.4528323165
125	0.4520886403
126	0.4516448039
127	0.4510545373
128	0.450533499
129	0.4501186121
130	0.4497004248
131	0.4490721552
132	0.448388158
133	0.4479162101
134	0.4474331763
135	0.446998769
136	0.4465373073
137	0.4460570541
138	0.445742584
139	0.4452442486
140	0.4447197843
141	0.4440561467
142	0.4436760358
143	0.4431338734
144	0.4428034157
145	0.4422657771
146	0.4418514152
147	0.4411241151
148	0.4406774676
149	0.4402746766
150	0.4397700991
151	0.4394026135
152	0.4388794741
153	0.4383694407
154	0.4378499611
155	0.4373413821
156	0.4368777943
157	0.4362861112
158	0.4359194233
159	0.4355900361
160	0.4351665089
161	0.4348640507
162	0.4343755302
163	0.4338831362
164	0.4335726547
165	0.4332050739
166	0.4326721537
167	0.4321670012
168	0.4319232447
169	0.4314790196
170	0.4310277438
171	0.4305813959
172	0.4302938894
173	0.4298908909
174	0.4295170848
175	0.429134042
176	0.4287829495
177	0.4284566928
178	0.4281915855
179	0.4278180617
180	0.4274291594
181	0.4270310258
182	0.4266662099
183	0.4263557591
184	0.4258893647
185	0.4254226211
186	0.4249811872
187	0.4246816111
188	0.4244184411
189	0.4241910814
190	0.4237915279
191	0.4236298118
192	0.4233011942
193	0.4229464329
194	0.4227329967
195	0.4223411426
196	0.4216926141
197	0.4214305766
198	0.4211267239
199	0.4207160129
200	0.420370975
201	0.4200962255
202	0.419843571
203	0.4193961656
204	0.4191310429
205	0.4188862614
206	0.4185471329
207	0.4181698719
208	0.4178249643
209	0.4175024178
210	0.417180502
211	0.4168817878
212	0.4166089703
213	0.4161048264
214	0.4158130771
215	0.4155639008
216	0.4153553465
217	0.4149085792
218	0.4145707202
219	0.4143001202
220	0.4140055134
221	0.4136551924
222	0.4131985865
223	0.4128936271
224	0.4126263535
225	0.4121982265
226	0.4118370979
227	0.4116362541
228	0.4114125075
229	0.4111366123
230	0.4108222804
231	0.4106465737
232	0.4104547731
233	0.4102483892
234	0.4099015326
235	0.4095852129
236	0.4093745822
237	0.4089836556
238	0.4088150736
239	0.4085308893
240	0.4082591391
241	0.4079794398
242	0.4076415045
243	0.4072894896
244	0.4070751585
245	0.4068355418
246	0.4066612949
247	0.4063935528
248	0.4061302902
249	0.4057560245
250	0.405356657
251	0.4051844199
252	0.4047797085
253	0.4046286333
254	0.4042709953
255	0.4040771164
256	0.4036754042
257	0.4035272226
258	0.4033381012
259	0.4029638758
260	0.4025440161
261	0.4021459768
262	0.4018201307
263	0.4014657886
264	0.4012695666
265	0.4009387155
266	0.400554333
267	0.4002721532
268	0.4000713781
269	0.39980309
270	0.3995661499
271	0.3993280962
272	0.3990368288
273	0.3986670882
274	0.3984354717
275	0.398293237
276	0.3981083026
277	0.3978292969
278	0.3976084674
279	0.3974331907
280	0.3971434741
281	0.3969292921
282	0.3966067181
283	0.3962450813
284	0.3959748171
285	0.3958100169
286	0.3955064836
287	0.3952592171
288	0.3950548916
289	0.3947845458
290	0.3945623486
291	0.3942717061
292	0.3940133708
293	0.3937018371
294	0.3934655272
295	0.3932148476
296	0.3928829648
297	0.3927124174
298	0.3925094572
299	0.3923309345
300	0.3920475892
301	0.3916855003
302	0.3914616168
303	0.391195467
304	0.3909316666
305	0.3906950241
306	0.390383895
307	0.3901682023
308	0.389849828
309	0.3896494304
310	0.3894316913
311	0.3892853622
312	0.3890197746
313	0.388798342
314	0.3884267151
315	0.3882395821
316	0.3880335933
317	0.3877813198
318	0.3873361264
319	0.3871285237
320	0.3868242668
321	0.3865745737
322	0.3864002379
323	0.3861492984
324	0.3859563993
325	0.3856395178
326	0.3854374669
327	0.3852832496
328	0.38495515
329	0.3846989819
330	0.3845142192
331	0.3842890827
332	0.3839265234
333	0.3836398635
334	0.3834286428
335	0.3830689046
336	0.3827680583
337	0.382608392
338	0.3824618838
339	0.3819525833
340	0.3816649632
341	0.3814785748
342	0.381178832
343	0.380952428
344	0.3808585692
345	0.380545053
346	0.380297368
347	0.3800451589
348	0.379862745
349	0.3795972764
350	0.3793166312
351	0.3789832609
352	0.3786957895
353	0.3785061235
354	0.3782752948
355	0.3779983849
356	0.3777212102
357	0.37751535
358	0.3774577577
359	0.3772759291
360	0.3767478884
361	0.3765880846
362	0.3763839664
363	0.3760493492
364	0.3757721881
365	0.3756103251
366	0.3753467779
367	0.3751676174
368	0.3749460231
369	0.3747947411
370	0.3746749568
371	0.3744409523
372	0.3742977569
373	0.3740472047
374	0.3738577318
375	0.3736633347
376	0.3734357469
377	0.3732470833
378	0.3729720662
379	0.3728241253
380	0.372623232
381	0.3723779435
382	0.3720773632
383	0.3717250943
384	0.3714445484
385	0.3711868853
386	0.3709813241
387	0.3706566295
388	0.3704502164
389	0.3702576325
390	0.3701444253
391	0.3699441015
392	0.3697730861
393	0.3695928176
394	0.3694000129
395	0.3691522655
396	0.3688674457
397	0.3687137908
398	0.3685702967
399	0.3684135711
400	0.3681145621
401	0.3679409752
402	0.3677674676
403	0.3676201998
404	0.367356593
405	0.3671487185
406	0.3669766277
407	0.3667279288
408	0.3665531943
409	0.3662537335
410	0.365815142
411	0.365682977
412	0.3655620082
413	0.3653255014
414	0.3650260976
415	0.3648170312
416	0.3645341023
417	0.3643628872
418	0.3642025819
419	0.3638970129
420	0.3637504221
421	0.3634425429
422	0.3633218505
423	0.3630926089
424	0.3626367764
425	0.362285037
426	0.3620705628
427	0.3618923782
428	0.3616307274
429	0.3612101309
430	0.3610707513
431	0.3609251339
432	0.3608004791
433	0.3605970641
434	0.360520994
435	0.360274387
436	0.3600807348
437	0.359963829
438	0.3597885767
439	0.3594354269
440	0.3592617406
441	0.3589168524
442	0.358630218
443	0.358391643
444	0.358293374
445	0.3581501778
446	0.3580044948
447	0.3577971374
448	0.3576358769
449	0.3573720938
450	0.3572235287
451	0.3569654446
452	0.3567811071
453	0.3565947609
454	0.3563669367
455	0.356147733
456	0.3559155526
457	0.3557187096
458	0.3554988114
459	0.3551839213
460	0.3550123173
461	0.3548051393
462	0.3546385888
463	0.3544966881
464	0.3542738334
465	0.3540962664
466	0.3538560561
467	0.3536462589
468	0.3534596893
469	0.3532374165
470	0.3530814024
471	0.3528733576
472	0.3526823544
473	0.3525549726
474	0.3523787204
475	0.352219039
476	0.3519465117
477	0.3516555332
478	0.3514551084
479	0.3511708692
480	0.3509715856
481	0.3508146038
482	0.3506726871
483	0.3505314698
484	0.3504197769
485	0.350355348
486	0.350251431
487	0.3499706206
488	0.3497570036
489	0.3494680719
490	0.3492139507
491	0.3491003104
492	0.3488311742
493	0.3486795952
494	0.3485912516
495	0.3484240715
496	0.3481433881
497	0.347945138
498	0.3477210692
499	0.3474947915
500	0.3473446593
