iter	Passed	Remaining
0	31	37694
1	62	37470
2	118	47119
3	186	55808
4	227	54430
5	264	52718
6	294	50176
7	324	48379
8	350	46418
9	377	44879
10	406	43906
11	435	43093
12	476	43493
13	506	42882
14	532	42049
15	560	41487
16	584	40693
17	612	40236
18	639	39748
19	668	39432
20	697	39149
21	723	38717
22	748	38324
23	776	38035
24	800	37608
25	820	37045
26	842	36603
27	874	36603
28	895	36144
29	919	35871
30	946	35709
31	969	35392
32	996	35231
33	1022	35063
34	1049	34929
35	1076	34803
36	1103	34687
37	1129	34540
38	1154	34381
39	1180	34235
40	1206	34113
41	1232	33984
42	1272	34226
43	1298	34117
44	1326	34054
45	1352	33923
46	1378	33817
47	1406	33762
48	1430	33603
49	1461	33620
50	1495	33690
51	1521	33588
52	1547	33481
53	1571	33350
54	1596	33243
55	1622	33154
56	1648	33057
57	1673	32954
58	1700	32889
59	1727	32827
60	1758	32833
61	1785	32778
62	1811	32690
63	1837	32609
64	1864	32560
65	1890	32486
66	1916	32404
67	1942	32341
68	1968	32272
69	1993	32188
70	2020	32122
71	2046	32064
72	2073	32005
73	2098	31936
74	2124	31873
75	2151	31812
76	2176	31742
77	2204	31711
78	2233	31688
79	2259	31631
80	2285	31571
81	2314	31562
82	2351	31648
83	2385	31697
84	2418	31724
85	2446	31691
86	2477	31689
87	2507	31681
88	2533	31630
89	2560	31584
90	2586	31523
91	2612	31463
92	2638	31402
93	2663	31336
94	2689	31280
95	2714	31217
96	2740	31161
97	2766	31110
98	2792	31058
99	2819	31009
100	2844	30955
101	2870	30900
102	2896	30847
103	2922	30801
104	2948	30749
105	2975	30709
106	3002	30667
107	3028	30625
108	3055	30580
109	3081	30530
110	3116	30572
111	3144	30550
112	3170	30498
113	3196	30449
114	3222	30407
115	3249	30364
116	3272	30289
117	3300	30263
118	3325	30210
119	3350	30150
120	3375	30098
121	3418	30205
122	3444	30159
123	3472	30134
124	3501	30109
125	3526	30061
126	3552	30014
127	3579	29979
128	3603	29917
129	3629	29876
130	3655	29828
131	3682	29791
132	3710	29769
133	3741	29764
134	3766	29714
135	3792	29674
136	3816	29614
137	3841	29565
138	3861	29472
139	3886	29425
140	3909	29365
141	3934	29314
142	3961	29282
143	3989	29257
144	4014	29207
145	4047	29222
146	4079	29221
147	4105	29181
148	4135	29173
149	4165	29160
150	4195	29146
151	4225	29131
152	4252	29097
153	4278	29060
154	4304	29023
155	4329	28972
156	4354	28925
157	4380	28891
158	4407	28857
159	4444	28890
160	4469	28844
161	4498	28823
162	4526	28795
163	4551	28755
164	4576	28706
165	4602	28667
166	4627	28625
167	4654	28591
168	4679	28548
169	4706	28517
170	4732	28478
171	4758	28440
172	4784	28401
173	4809	28361
174	4836	28326
175	4862	28291
176	4887	28250
177	4913	28211
178	4939	28175
179	4965	28135
180	4991	28100
181	5017	28065
182	5045	28037
183	5071	28003
184	5098	27972
185	5125	27939
186	5152	27909
187	5177	27868
188	5202	27830
189	5228	27794
190	5254	27755
191	5279	27715
192	5304	27677
193	5330	27641
194	5354	27596
195	5381	27568
196	5413	27561
197	5437	27517
198	5459	27464
199	5487	27438
200	5517	27420
201	5542	27382
202	5574	27378
203	5597	27327
204	5625	27302
205	5648	27256
206	5678	27241
207	5699	27183
208	5729	27169
209	5758	27146
210	5784	27114
211	5810	27079
